,segment,label,speaker,start,end,intersection,union
61,[ 00:05:12.707 -->  00:05:29.193],BJ,SPEAKER_00,312.70797962648555,329.1935483870968,-264.9924516129032,281.6590203735144
62,[ 00:05:30.331 -->  00:05:33.964],BK,SPEAKER_00,330.3310696095076,333.96434634974537,-260.22165365025467,264.03593039049235
63,[ 00:05:34.524 -->  00:05:37.631],BL,SPEAKER_00,334.52461799660443,337.63157894736844,-256.5544210526316,259.8423820033955
64,[ 00:05:38.904 -->  00:05:39.482],BM,SPEAKER_00,338.9049235993209,339.4821731748726,-254.7038268251274,255.46207640067905
65,[ 00:05:41.757 -->  00:05:43.081],BN,SPEAKER_00,341.7572156196944,343.08149405772497,-251.10450594227507,252.60978438030554
66,[ 00:05:45.118 -->  00:05:47.325],BO,SPEAKER_00,345.1188455008489,347.32597623089987,-246.86002376910017,249.24815449915104
67,[ 00:05:48.344 -->  00:06:08.853],BP,SPEAKER_00,348.34465195246185,368.85398981324283,-225.3320101867572,246.02234804753812
68,[ 00:06:09.753 -->  00:06:13.981],BQ,SPEAKER_00,369.7538200339559,373.981324278438,-220.204675721562,224.61317996604407
69,[ 00:06:18.310 -->  00:06:18.887],BR,SPEAKER_00,378.3106960950764,378.88794567062826,-215.29805432937178,216.05630390492354
70,[ 00:06:21.570 -->  00:06:23.998],BS,SPEAKER_02,381.57045840407477,383.9983022071308,-210.18769779286924,212.7965415959252
71,[ 00:06:29.006 -->  00:06:37.427],BT,SPEAKER_03,389.00679117147706,397.427843803056,-196.75815619694401,205.3602088285229
72,[ 00:06:37.852 -->  00:06:42.589],BU,SPEAKER_03,397.8522920203735,402.58913412563675,-191.5968658743633,196.51470797962645
73,[ 00:06:43.522 -->  00:06:45.254],BV,SPEAKER_03,403.5229202037351,405.2546689303905,-188.93133106960954,190.84407979626485
74,[ 00:06:45.628 -->  00:06:54.015],BW,SPEAKER_03,405.6281833616299,414.01528013582345,-180.1707198641766,188.73881663837005
75,[ 00:06:54.235 -->  00:06:58.684],BX,SPEAKER_03,414.2359932088285,418.68421052631584,-175.5017894736842,180.13100679117144
76,[ 00:06:58.769 -->  00:07:16.035],BY,SPEAKER_03,418.76910016977934,436.03565365025474,-158.1503463497453,175.59789983022063
77,[ 00:07:37.258 -->  00:07:51.757],BZ,SPEAKER_03,457.258064516129,471.7572156196944,-122.42878438030561,137.10893548387094
78,[ 00:08:10.246 -->  00:08:12.741],CA,SPEAKER_03,490.2461799660441,492.741935483871,-101.44406451612906,104.12082003395585
79,[ 00:08:14.847 -->  00:08:28.259],CB,SPEAKER_03,494.8471986417658,508.25976230899835,-85.92623769100169,99.51980135823419
80,[ 00:08:29.804 -->  00:08:31.910],CC,SPEAKER_03,509.80475382003397,511.91001697792876,-82.27598302207127,84.562246179966
81,[ 00:08:39.448 -->  00:08:44.728],CD,SPEAKER_02,519.4482173174872,524.7283531409169,-69.45764685908318,74.91878268251276
82,[ 00:08:45.390 -->  00:08:49.770],CE,SPEAKER_02,525.3904923599321,529.7707979626487,-64.41520203735138,68.9765076400679
83,[ 00:08:50.195 -->  00:08:51.485],CF,SPEAKER_02,530.195246179966,531.4855687606112,-62.70043123938888,64.17175382003393
84,[ 00:08:52.011 -->  00:08:56.341],CG,SPEAKER_02,532.0118845500849,536.3412563667232,-57.844743633276835,62.35511544991505
85,[ 00:08:56.714 -->  00:08:58.633],CH,SPEAKER_02,536.7147707979627,538.6332767402378,-55.552723259762274,57.65222920203723
86,[ 00:08:58.904 -->  00:09:52.300],CI,SPEAKER_02,538.9049235993209,592.3005093378608,-1.8854906621392047,55.46207640067905
87,[ 00:09:52.487 -->  00:09:53.624],CJ,SPEAKER_02,592.4872665534804,593.6247877758913,-0.5612122241087718,1.8797334465195945
88,[ 00:09:53.760 -->  00:09:54.439],CK,SPEAKER_02,593.760611205433,594.4397283531409,0.18099999999992633,0.6791171477079843
